OMII0II1411210965,OMII0IIN340943608,Heart tests,NT
OMII0II1411210965,OMII0II539639450,EEG,NT
OMII0II1411210965,OMII0II893416740,Post-mortem,NT
OMII0II1411210965,OMII0II1231263883,Endoscopy,NT
OMII0II1411210965,OMII0IIN471534792,Stool sample tests,NT
OMII0II1411210965,OMII0II248984224,Investigations in pregnancy,NT
OMII0II1411210965,OMII0IIN692707412E,"Biopsies, swabs or scrapings",NT
OMII0II1411210965,OMII0II1199290401,Urine tests,NT
OMII0II1411210965,OMII0II650908441,Infection tests,NT
OMII0II1411210965,OMII0II724967731,Kidney tests,NT
OMII0II1411210965,OMII0IIN280453481,Eye tests,NT
OMII0II1411210965,OMII0IIN1318538468,Blood tests,NT
OMII0II1411210965,OMII0II1777672251,Cytogenetics and genetic screening,NT
OMII0II1411210965,OMII0IIN1442073382,Lumbar puncture,NT
OMII0II1411210965,OMII0II289720930,Hearing tests,NT
OMII0II1411210965,OMII0IIN72178045,Physical examination or measurements,NT
OMII0II1411210965,OMII0II1366370330,Sweat test,NT
OMII0II1411210965,OMII0IIN1715524710,"Scans, imaging and barium studies",NT
OMII0II1411210965,OMII0II1802581236,Screening tests,NT
OMII0II1411210965,OMII0II1750262071,Preoperative tests,NT
OMII0II1411210965,OMII0II924437686,Mental or psychological assessments,NT
OMII0II1411210965,OMII0II116195898,Body parts and body systems,X-Measures or involves
OMII0IIN1318538468,OMII0II247273186,IVF,X-Requiring or required for
OMII0IIN1318538468,OMII0IIN1755704349,Blood transfusion,X-Requiring or required for
OMII0IIN1318538468,OMII0IIN119414307,Anti-D immunoglobulin,X-Requiring or required for
OMII0IIN1318538468,OMII0II1709867594,White blood cell tests,NT
OMII0IIN1318538468,OMII0IIN2083151509,Liver function tests,NT
OMII0IIN1318538468,OMII0IIN2001726183,AFP test,NT
OMII0IIN1318538468,OMII0IIN645084301,Red blood count,NT
OMII0IIN1318538468,OMII0IIN664196164,PSA test,NT
OMII0IIN1318538468,OMII0IIN1957026226,Hormone tests,NT
OMII0IIN1318538468,OMII0II228783917,Blood glucose measurement,NT
OMII0IIN1318538468,OMII0II2058407048,Cholesterol test,NT
OMII0IIN1318538468,OMII0II647423942J,Cancer marker tests,NT
OMII0IIN1318538468,OMII0II682341532,Electrolytes,NT
OMII0IIN1318538468,OMII0IIN1375373101,Cardiac enzymes,NT
OMII0IIN1318538468,OMII0II404551446,Donation (blood or organ),X-Money & legal implications
OMII0IIN1318538468,OMII0IIN1601768157,Blood test / Easy health,X-Test provided
OMII0IIN1318538468,OMII0II1750262071,Preoperative tests,RT
OMII0II1199290401,OMII0II298898620,Urinary catheterisation,X-Requiring or required for
OMII0II1199290401,OMII0IIN1957026226,Hormone tests,NT
OMII0II1199290401,OMII0IIN2027906515,Bladder,X-Measures or involves
OMII0II1199290401,OMII0IIN392007956,Urine,X-Measures or involves
OMII0II1199290401,OMII0II2106671123,Urinary specialists,X-Test provided
