termId,termUpdate,termName,termType,termCategory,termStatus,termApproval,term_Id,termCreatedDate,termCreatedBy,termModifiedDate,termModifiedBy
"OMII0II1174041599","add","Lung surgery","ND","","active","approved",0,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II182934590","add","Wedge resection of lung","ND","","active","approved",1,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1311571353","add","Surgical therapy","ND","","active","approved",2,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II310005344","add","Operations","ND","","active","approved",3,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II561969349","add","Surgery in pregnancy","ND","","active","approved",4,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1620311804","add","Spinal operation","ND","","active","approved",5,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1987031780","add","Surgery on the spine","ND","","active","approved",6,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II276330156","add","Surgery on vertebrae","ND","","active","approved",7,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II874402629","add","Spinal stenosis surgery","ND","","active","approved",8,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II46719637","add","Soft tissue surgery","ND","","active","approved",9,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II189542889","add","Tendon surgery","ND","","active","approved",10,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II979280419","add","Surgery on tendons","ND","","active","approved",11,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II611407110","add","Surgery on muscles","ND","","active","approved",12,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1924407412","add","Organ transplant","ND","","active","approved",13,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II131186222","add","Recipient of transplant","ND","","active","approved",14,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1443156032","add","Marrow transplant","ND","","active","approved",15,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1787180472","add","ENT specialist","ND","","active","approved",16,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1895510312","add","Cardiac transplantation","ND","","active","approved",17,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II505326905","add","Heart-lung transplant","ND","","active","approved",18,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1941186680","add","Pancreatic transplant","ND","","active","approved",19,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1210024413","add","Islet cell transplant","ND","","active","approved",20,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II823127829","add","Nephrectomy","ND","","active","approved",21,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1063338000","add","Renal surgery","ND","","active","approved",22,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1065415755","add","Kidney surgery","ND","","active","approved",23,"20150721T14:52:24","admin","20150721T14:56:07","admin"
